epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,234.638,2.63618,0.27545,0.67665,2.38839,0.00012788,0.00012788,0.00012788
2,455.906,2.22752,0.52096,0.83234,1.74254,0.000258733,0.000258733,0.000258733
